"Name","Geoid","pa_or_restart_cat"
"Belridge Elementary School District","0604560","Did not receive either PA or Restart Grant"
"Blake Elementary School District","0605250","Did not receive either PA or Restart Grant"
"Elk Hills Elementary School District","0612360","Did not receive either PA or Restart Grant"
"Ravendale-Termo Elementary School District","0631830","Did not receive either PA or Restart Grant"
"Ravendale-Termo Elementary School District","0631830","Did not receive either PA or Restart Grant"
"Richmond Elementary School District","0632520","Did not receive either PA or Restart Grant"
"New Hope Elementary School District","0626970","Did not receive either PA or Restart Grant"
"New Jerusalem Elementary School District","0627030","Did not receive either PA or Restart Grant"
"Oak View Union Elementary School District","0627930","Did not receive either PA or Restart Grant"
"General Shafter Elementary School District","0615000","Did not receive either PA or Restart Grant"
"Kernville Union Elementary School District","0619590","Did not receive either PA or Restart Grant"
"Richland Union School District","0621450","Did not receive either PA or Restart Grant"
"Alvina Elementary School District","0602370","Did not receive either PA or Restart Grant"
"Burrel Union Elementary School District","0606540","Did not receive either PA or Restart Grant"
"Bella Vista Elementary School District","0604350","Received PA or Restart Grant"
"Black Butte Union Elementary School District","0605220","Did not receive either PA or Restart Grant"
"Cascade Union Elementary School District","0607680","Did not receive either PA or Restart Grant"
"Castle Rock Union Elementary School District","0607770","Did not receive either PA or Restart Grant"
"French Gulch-Whiskeytown Elementary School District","0614490","Did not receive either PA or Restart Grant"
"Monson-Sultana Joint Union Elementary School District","0625350","Did not receive either PA or Restart Grant"
"Orange Center Elementary School District","0628530","Did not receive either PA or Restart Grant"
"Pine Ridge Elementary School District","0630390","Did not receive either PA or Restart Grant"
"Big Springs Union Elementary School District","0604980","Did not receive either PA or Restart Grant"
"Indian Springs Elementary School District","0618270","Received PA or Restart Grant"
"Atwater Elementary School District","0603420","Did not receive either PA or Restart Grant"
"El Nido Elementary School District","0612150","Did not receive either PA or Restart Grant"
"Le Grand Union Elementary School District","0621240","Did not receive either PA or Restart Grant"
"Bogus Elementary School District","0605490","Did not receive either PA or Restart Grant"
