"Name","Geoid","pa_or_restart_cat"
"Lakeland School Corporation","1805520","Did not receive either PA or Restart Grant"
"Calera Public Schools","4006180","Did not receive either PA or Restart Grant"
"Anderson Elementary School District","3002070","Did not receive either PA or Restart Grant"
"South Newton School Corporation","1810470","Did not receive either PA or Restart Grant"
"Little Axe Public Schools","4017880","Did not receive either PA or Restart Grant"
"South Newton School Corporation","1810470","Did not receive either PA or Restart Grant"
"Basin Elementary School District","3002820","Did not receive either PA or Restart Grant"
"Garrett-Keyser-Butler Community Schools","1803840","Did not receive either PA or Restart Grant"
"Battiest Public Schools","4003660","Did not receive either PA or Restart Grant"
"Montana City Elementary School District","3018780","Did not receive either PA or Restart Grant"
"John Glenn School Corporation","1809120","Did not receive either PA or Restart Grant"
"Calvin Public Schools","4006270","Did not receive either PA or Restart Grant"
"Buffalo Public Schools","4005760","Did not receive either PA or Restart Grant"
"Whitehall Elementary School District","3027810","Did not receive either PA or Restart Grant"
"North Mahaska Community School District","1920850","Did not receive either PA or Restart Grant"
"Buffalo Public Schools","4005760","Did not receive either PA or Restart Grant"
"Grant Elementary School District","3012900","Did not receive either PA or Restart Grant"
"Cherokee Public Schools","4007410","Received PA or Restart Grant"
"Grant Elementary School District","3012900","Did not receive either PA or Restart Grant"
"Billings Public Schools","4004360","Did not receive either PA or Restart Grant"
"Eddyville-Blakesburg-Fremont Community School District","1904950","Did not receive either PA or Restart Grant"
"Reichle Elementary School District","3022290","Did not receive either PA or Restart Grant"
"Olustee-Eldorado Public Schools","4000797","Did not receive either PA or Restart Grant"
"Glendive Elementary School District","3012510","Did not receive either PA or Restart Grant"
"Essex Community School District","1911040","Did not receive either PA or Restart Grant"
"Olustee-Eldorado Public Schools","4000797","Did not receive either PA or Restart Grant"
"Choctaw/Nicoma Park Schools","4007620","Did not receive either PA or Restart Grant"
"Chariton Community School District","1907050","Did not receive either PA or Restart Grant"
"Bedford Community School District","1904560","Did not receive either PA or Restart Grant"
"Crooked Oak Public Schools","4009060","Did not receive either PA or Restart Grant"
"Swan Lake-Salmon Elementary School District","3015930","Did not receive either PA or Restart Grant"
"Valley View Elementary School District","3027150","Did not receive either PA or Restart Grant"
"Western Heights Public Schools","4032370","Did not receive either PA or Restart Grant"
"Bedford Community School District","1904560","Did not receive either PA or Restart Grant"
"Iowa Valley Community School District","1914850","Did not receive either PA or Restart Grant"
"Panola Public Schools","4023400","Did not receive either PA or Restart Grant"
"Mid-Prairie Community School District","1919140","Did not receive either PA or Restart Grant"
"Divide Elementary School District","3009000","Did not receive either PA or Restart Grant"
"Clarksville Community School District","1907440","Did not receive either PA or Restart Grant"
"Deer Creek Public Schools","4009570","Did not receive either PA or Restart Grant"
"McCormick Elementary School District","3006030","Did not receive either PA or Restart Grant"
"IKM-Manning Community School District","1914880","Did not receive either PA or Restart Grant"
"Mulhall-Orlando Public Schools","4020910","Did not receive either PA or Restart Grant"
"East Union Community School District","1910350","Did not receive either PA or Restart Grant"
"Vici Public Schools","4031170","Received PA or Restart Grant"
"West Burlington Independent School District","1930780","Did not receive either PA or Restart Grant"
"Blair Public Schools","4004650","Did not receive either PA or Restart Grant"
"Ames Community School District","1903540","Did not receive either PA or Restart Grant"
"Foyil Public Schools","4012090","Did not receive either PA or Restart Grant"
"Humboldt Community School District","1914370","Did not receive either PA or Restart Grant"
"Southeast Webster-Grand Community School District","1999019","Did not receive either PA or Restart Grant"
"Maud Public Schools","4019290","Did not receive either PA or Restart Grant"
"Fortine Elementary School District","3011340","Did not receive either PA or Restart Grant"
"South O'Brien Community School District","1900026","Did not receive either PA or Restart Grant"
"Varnum Public Schools","4030990","Did not receive either PA or Restart Grant"
"South Stacey Elementary School District","3000007","Did not receive either PA or Restart Grant"
"Adair-Casey Community School District","1903090","Did not receive either PA or Restart Grant"
"Biddle Elementary School District","3003600","Did not receive either PA or Restart Grant"
"Binger-Oney Public Schools","4033603","Did not receive either PA or Restart Grant"
"Biddle Elementary School District","3003600","Did not receive either PA or Restart Grant"
"Lisbon Community School District","1917250","Did not receive either PA or Restart Grant"
"West Branch Community School District","1930750","Did not receive either PA or Restart Grant"
"Alzada Elementary School District","3001950","Did not receive either PA or Restart Grant"
"Dale Public Schools","4009390","Did not receive either PA or Restart Grant"
"Alzada Elementary School District","3001950","Did not receive either PA or Restart Grant"
"Alzada Elementary School District","3001950","Did not receive either PA or Restart Grant"
"PCM Community School District","1999017","Did not receive either PA or Restart Grant"
"Bonner Elementary School District","3004260","Did not receive either PA or Restart Grant"
"DeSmet Elementary School District","3008880","Did not receive either PA or Restart Grant"
"Wanette Public Schools","4031500","Did not receive either PA or Restart Grant"
"Lolo Elementary School District","3017130","Did not receive either PA or Restart Grant"
"Charles City Community School District","1907080","Did not receive either PA or Restart Grant"
"Sumner-Fredericksburg Community School District","1927600","Did not receive either PA or Restart Grant"
"Whiting Community School District","1931620","Did not receive either PA or Restart Grant"
"Byng Public Schools","4006060","Did not receive either PA or Restart Grant"
"Seeley Lake Elementary School District","3023730","Did not receive either PA or Restart Grant"
"Whiting Community School District","1931620","Did not receive either PA or Restart Grant"
"Camanche Community School District","1906060","Did not receive either PA or Restart Grant"
"Pioneer-Pleasant Vale Schools","4024510","Did not receive either PA or Restart Grant"
"Camanche Community School District","1906060","Did not receive either PA or Restart Grant"
"Bethany Public Schools","4004110","Did not receive either PA or Restart Grant"
"Auchard Creek Elementary School District","3002490","Did not receive either PA or Restart Grant"
"Sidney Community School District","1926250","Did not receive either PA or Restart Grant"
"Goodwell Public Schools","4012870","Did not receive either PA or Restart Grant"
"Goodwell Public Schools","4012870","Did not receive either PA or Restart Grant"
"Sidney Community School District","1926250","Did not receive either PA or Restart Grant"
"Trinity Elementary School District","3026490","Did not receive either PA or Restart Grant"
"Roff Public Schools","4026280","Did not receive either PA or Restart Grant"
"Delwood Community School District","1908880","Did not receive either PA or Restart Grant"
"Big Pasture Public Schools","4004350","Did not receive either PA or Restart Grant"
"Olin Consolidated School District","1921720","Did not receive either PA or Restart Grant"
"Carter Elementary School District","3005760","Did not receive either PA or Restart Grant"
"Louisa-Muscatine Community School District","1917820","Did not receive either PA or Restart Grant"
"Garrison Elementary School District","3021480","Did not receive either PA or Restart Grant"
"Big Pasture Public Schools","4004350","Did not receive either PA or Restart Grant"
"Louisa-Muscatine Community School District","1917820","Did not receive either PA or Restart Grant"
"Allenstown School District","3301380","Did not receive either PA or Restart Grant"
"Clinton Public Schools","4008070","Received PA or Restart Grant"
"Davenport Community School District","1908580","Did not receive either PA or Restart Grant"
"Hilldale Public Schools","4014520","Did not receive either PA or Restart Grant"
"Alton School District","3301440","Did not receive either PA or Restart Grant"
"Davenport Community School District","1908580","Did not receive either PA or Restart Grant"
"Northwood-Kensett Community School District","1921210","Did not receive either PA or Restart Grant"
"Warner Public Schools","4031650","Did not receive either PA or Restart Grant"
"Amherst School District","3301470","Did not receive either PA or Restart Grant"
"Northwood-Kensett Community School District","1921210","Did not receive either PA or Restart Grant"
"Andover School District","3301500","Did not receive either PA or Restart Grant"
"Ashland School District","3301560","Did not receive either PA or Restart Grant"
"Miami Public Schools","4019860","Received PA or Restart Grant"
"Galva-Holstein Community School District","1912230","Did not receive either PA or Restart Grant"
"Auburn School District","3301590","Did not receive either PA or Restart Grant"
"Schleswig Community School District","1925410","Did not receive either PA or Restart Grant"
"Barrington School District","3301650","Did not receive either PA or Restart Grant"
"Hammon Public Schools","4013650","Did not receive either PA or Restart Grant"
"Reydon Public Schools","4025800","Did not receive either PA or Restart Grant"
"College Community School District","1907860","Did not receive either PA or Restart Grant"
"North Iowa Community School District","1905750","Did not receive either PA or Restart Grant"
"Bartlett School District","3301680","Did not receive either PA or Restart Grant"
"Bath School District","3301710","Did not receive either PA or Restart Grant"
"Reydon Public Schools","4025800","Did not receive either PA or Restart Grant"
"North Iowa Community School District","1905750","Did not receive either PA or Restart Grant"
"Bath School District","3301710","Did not receive either PA or Restart Grant"
"George-Little Rock Community School District","1912480","Did not receive either PA or Restart Grant"
"George-Little Rock Community School District","1912480","Did not receive either PA or Restart Grant"
"Moulton-Udell Community School District","1919800","Did not receive either PA or Restart Grant"
"Sayre Public Schools","4027060","Received PA or Restart Grant"
"Bethlehem School District","3301890","Did not receive either PA or Restart Grant"
"Brentwood School District","3302010","Did not receive either PA or Restart Grant"
"Brookline School District","3302070","Did not receive either PA or Restart Grant"
"Brookline School District","3302070","Did not receive either PA or Restart Grant"
"Moulton-Udell Community School District","1919800","Did not receive either PA or Restart Grant"
"Collinsville Public Schools","4008370","Did not receive either PA or Restart Grant"
"Campton School District","3302100","Did not receive either PA or Restart Grant"
"Chesterfield School District","3302280","Did not receive either PA or Restart Grant"
"Purcell Public Schools","4025230","Did not receive either PA or Restart Grant"
"Seymour Community School District","1925620","Did not receive either PA or Restart Grant"
"Chesterfield School District","3302280","Did not receive either PA or Restart Grant"
"Carney Public Schools","4006690","Did not receive either PA or Restart Grant"
"Seymour Community School District","1925620","Did not receive either PA or Restart Grant"
"Chichester School District","3302310","Did not receive either PA or Restart Grant"
"Aplington-Parkersburg Community School District","1903750","Did not receive either PA or Restart Grant"
"Davenport Public Schools","4009450","Did not receive either PA or Restart Grant"
"Cornish School District","3302520","Did not receive either PA or Restart Grant"
"Bondurant-Farrar Community School District","1905070","Did not receive either PA or Restart Grant"
"Bridge Creek Public Schools","4005400","Did not receive either PA or Restart Grant"
"Cornish School District","3302520","Did not receive either PA or Restart Grant"
"Dunbarton School District","3302760","Did not receive either PA or Restart Grant"
"Atlantic Community School District","1903930","Did not receive either PA or Restart Grant"
"East Kingston School District","3302790","Did not receive either PA or Restart Grant"
"Errol School District","3302940","Did not receive either PA or Restart Grant"
"Lewis Central Community School District","1916680","Did not receive either PA or Restart Grant"
"Errol School District","3302940","Did not receive either PA or Restart Grant"
"Ardmore Public Schools","4003180","Did not receive either PA or Restart Grant"
"Lewis Central Community School District","1916680","Did not receive either PA or Restart Grant"
"Freedom School District","3303120","Did not receive either PA or Restart Grant"
"Dibble Public Schools","4009870","Did not receive either PA or Restart Grant"
"Freedom School District","3303120","Did not receive either PA or Restart Grant"
"Graettinger-Terril Community School District","1912810","Did not receive either PA or Restart Grant"
"Lempster School District","3303303","Did not receive either PA or Restart Grant"
"Laurens-Marathon Community School District","1916420","Did not receive either PA or Restart Grant"
"Grantham School District","3303360","Did not receive either PA or Restart Grant"
"Greenland School District","3303420","Did not receive either PA or Restart Grant"
"Clear Lake Community School District","1907620","Did not receive either PA or Restart Grant"
"Canton Public Schools","4006480","Received PA or Restart Grant"
"Hampstead School District","3303480","Did not receive either PA or Restart Grant"
"Pittsburg Public Schools","4024180","Did not receive either PA or Restart Grant"
"Hampton School District","3303510","Did not receive either PA or Restart Grant"
"Maquoketa Valley Community School District","1918540","Did not receive either PA or Restart Grant"
"Tushka Public Schools","4030360","Did not receive either PA or Restart Grant"
"Hanover School District","3303600","Did not receive either PA or Restart Grant"
"Hanover School District","3303600","Did not receive either PA or Restart Grant"
"Eldora-New Providence Community School District","1910690","Did not receive either PA or Restart Grant"
"Harrisville School District","3303630","Did not receive either PA or Restart Grant"
"Henniker School District","3303690","Did not receive either PA or Restart Grant"
"Milburn Public Schools","4019980","Did not receive either PA or Restart Grant"
"Milan School District","3304800","Did not receive either PA or Restart Grant"
"New Castle School District","3305070","Did not receive either PA or Restart Grant"
"Kingsley-Pierson Community School District","1915750","Did not receive either PA or Restart Grant"
"New Castle School District","3305070","Did not receive either PA or Restart Grant"
"Hugo Public Schools","4015210","Did not receive either PA or Restart Grant"
"Sioux City Community School District","1926400","Did not receive either PA or Restart Grant"
"Piermont School District","3305670","Did not receive either PA or Restart Grant"
"Piermont School District","3305670","Did not receive either PA or Restart Grant"
"Glenpool Public Schools","4012720","Did not receive either PA or Restart Grant"
"Sioux City Community School District","1926400","Did not receive either PA or Restart Grant"
"Rollinsford School District","3305970","Did not receive either PA or Restart Grant"
"Sioux City Community School District","1926400","Did not receive either PA or Restart Grant"
"Rollinsford School District","3305970","Did not receive either PA or Restart Grant"
"Hartshorne Public Schools","4013920","Did not receive either PA or Restart Grant"
"Stewartstown School District","3306360","Did not receive either PA or Restart Grant"
"Stewartstown School District","3306360","Did not receive either PA or Restart Grant"
"Thackerville Public Schools","4029850","Did not receive either PA or Restart Grant"
"West Sioux Community School District","1931290","Did not receive either PA or Restart Grant"
"Stoddard School District","3306390","Did not receive either PA or Restart Grant"
"Thackerville Public Schools","4029850","Did not receive either PA or Restart Grant"
"Stratford School District","3306450","Did not receive either PA or Restart Grant"
"Agra Public Schools","4002550","Did not receive either PA or Restart Grant"
"Stratford School District","3306450","Did not receive either PA or Restart Grant"
"Gore Public Schools","4012900","Did not receive either PA or Restart Grant"
"West Sioux Community School District","1931290","Did not receive either PA or Restart Grant"
"Tamworth School District","3306600","Did not receive either PA or Restart Grant"
"Wakefield School District","3306780","Did not receive either PA or Restart Grant"
"Gans Public Schools","4012390","Did not receive either PA or Restart Grant"
"Wakefield School District","3306780","Did not receive either PA or Restart Grant"
"Berryhill Public Schools","4004020","Did not receive either PA or Restart Grant"
"Waterville Valley School District","3306910","Did not receive either PA or Restart Grant"
"West Lyon Community School District","1931020","Did not receive either PA or Restart Grant"
"Athena-Weston School District 29J","4101660","Did not receive either PA or Restart Grant"
"Greenwich Township School District","3406150","Did not receive either PA or Restart Grant"
"Hermiston School District 8","4106300","Did not receive either PA or Restart Grant"
"Hermiston School District 8","4106300","Did not receive either PA or Restart Grant"
"West Lyon Community School District","1931020","Did not receive either PA or Restart Grant"
"West Lyon Community School District","1931020","Did not receive either PA or Restart Grant"
"Upper Deerfield Township School District","3416530","Did not receive either PA or Restart Grant"
"Harper School District 66","4106120","Did not receive either PA or Restart Grant"
"Independence Community School District","1914580","Did not receive either PA or Restart Grant"
"Egg Harbor City School District","3404530","Did not receive either PA or Restart Grant"
"Annex School District 29","4101350","Did not receive either PA or Restart Grant"
"Storm Lake Community School District","1927390","Did not receive either PA or Restart Grant"
"Linwood City School District","3408670","Did not receive either PA or Restart Grant"
"Annex School District 29","4101350","Did not receive either PA or Restart Grant"
"Perry Community School District","1922530","Did not receive either PA or Restart Grant"
"Wanaque Borough School District","3416950","Received PA or Restart Grant"
"Eastern Allamakee Community School District","1910410","Did not receive either PA or Restart Grant"
"Prospect Park Borough School District","3413470","Did not receive either PA or Restart Grant"
"Ione School District 2","4100047","Did not receive either PA or Restart Grant"
"Eastern Allamakee Community School District","1910410","Did not receive either PA or Restart Grant"
"Little Falls Township School District","3408730","Did not receive either PA or Restart Grant"
"Lakeview School District 7","4107280","Did not receive either PA or Restart Grant"
"Eastern Allamakee Community School District","1910410","Did not receive either PA or Restart Grant"
"Cape May City School District","3402700","Did not receive either PA or Restart Grant"
"MFL MarMac Community School District","1918120","Did not receive either PA or Restart Grant"
"Alexandria Township School District","3400690","Did not receive either PA or Restart Grant"
"Lakeview School District 7","4107280","Did not receive either PA or Restart Grant"
"MFL MarMac Community School District","1918120","Did not receive either PA or Restart Grant"
"Marshalltown Community School District","1918720","Did not receive either PA or Restart Grant"
"Alexandria Township School District","3400690","Did not receive either PA or Restart Grant"
"Califon Borough School District","3402610","Did not receive either PA or Restart Grant"
"Clinton Town-Glen Gardner School District","3403330","Did not receive either PA or Restart Grant"
"Belmond-Klemme Community School District","1904680","Did not receive either PA or Restart Grant"
"Delaware Township School District","3403720","Did not receive either PA or Restart Grant"
"East Sac County Community School District","1929580","Did not receive either PA or Restart Grant"
"South Wasco County School District 1","4100021","Did not receive either PA or Restart Grant"
"Delaware Township School District","3403720","Did not receive either PA or Restart Grant"
"Indianola Community School District","1914640","Did not receive either PA or Restart Grant"
"North Wasco School District 21","4100048","Did not receive either PA or Restart Grant"
"Montvale Borough School District","3410620","Received PA or Restart Grant"
"Montvale Borough School District","3410620","Received PA or Restart Grant"
"West Des Moines Community School District","1930930","Did not receive either PA or Restart Grant"
"North Wasco School District 21","4100048","Did not receive either PA or Restart Grant"
"Allendale Borough School District","3400750","Did not receive either PA or Restart Grant"
"Gladbrook-Reinbeck Community School District","1912660","Did not receive either PA or Restart Grant"
"Demarest Borough School District","3403810","Did not receive either PA or Restart Grant"
"Carlstadt Borough School District","3402790","Did not receive either PA or Restart Grant"
"Missouri Valley Community School District","1919440","Received PA or Restart Grant"
"Eagle Point School District 9","4104500","Did not receive either PA or Restart Grant"
"Oradell Borough School District","3412240","Did not receive either PA or Restart Grant"
"Pinehurst School District 94","4109750","Did not receive either PA or Restart Grant"
"Missouri Valley Community School District","1919440","Received PA or Restart Grant"
"Pinehurst School District 94","4109750","Did not receive either PA or Restart Grant"
"Brooklyn-Guernsey-Malcom Community School District","1905490","Did not receive either PA or Restart Grant"
"Decorah Community School District","1908730","Did not receive either PA or Restart Grant"
"Old Tappan Borough School District","3412180","Did not receive either PA or Restart Grant"
"Old Tappan Borough School District","3412180","Did not receive either PA or Restart Grant"
"Hillsdale Borough School District","3407260","Did not receive either PA or Restart Grant"
"Franklin Lakes Borough School District","3405370","Did not receive either PA or Restart Grant"
"Decorah Community School District","1908730","Did not receive either PA or Restart Grant"
"Knowlton Township School District","3408070","Did not receive either PA or Restart Grant"
"Bend-La Pine Administrative School District 1","4101980","Received PA or Restart Grant"
"Knowlton Township School District","3408070","Did not receive either PA or Restart Grant"
"Earlham Community School District","1910050","Did not receive either PA or Restart Grant"
"Andrew Community School District","1903630","Did not receive either PA or Restart Grant"
"Sisters School District 6","4111490","Did not receive either PA or Restart Grant"
"Mediapolis Community School District","1918930","Did not receive either PA or Restart Grant"
"Frelinghuysen Township School District","3405670","Did not receive either PA or Restart Grant"
"Mediapolis Community School District","1918930","Did not receive either PA or Restart Grant"
"Junction City School District 69","4106930","Did not receive either PA or Restart Grant"
"South Hamilton Community School District","1926640","Did not receive either PA or Restart Grant"
"Mansfield Township School District","3409540","Did not receive either PA or Restart Grant"
"Dunkerton Community School District","1909540","Did not receive either PA or Restart Grant"
"Franklin Township School District","3405520","Did not receive either PA or Restart Grant"
"Siuslaw School District 97J","4105100","Did not receive either PA or Restart Grant"
"Central City Community School District","1906780","Did not receive either PA or Restart Grant"
"Cedar Falls Community School District","1906510","Did not receive either PA or Restart Grant"
"Marcola School District 79J","4107740","Did not receive either PA or Restart Grant"
"Fairfield Community School District","1911340","Did not receive either PA or Restart Grant"
"Byram Township School District","3402550","Did not receive either PA or Restart Grant"
"Pleasant Hill School District 1","4109870","Did not receive either PA or Restart Grant"
"Frankford Township School District","3405340","Did not receive either PA or Restart Grant"
"Alden Community School District","1900032","Did not receive either PA or Restart Grant"
"Franklin Borough School District","3405400","Did not receive either PA or Restart Grant"
"Central School District 13J","4102840","Did not receive either PA or Restart Grant"
"Lamoni Community School District","1916320","Did not receive either PA or Restart Grant"
"Ashwood School District 8","4101590","Did not receive either PA or Restart Grant"
"Lamoni Community School District","1916320","Did not receive either PA or Restart Grant"
"Starmont Community School District","1927270","Did not receive either PA or Restart Grant"
"Central Lee Community School District","1906930","Did not receive either PA or Restart Grant"
"Chester Township School District","3403060","Received PA or Restart Grant"
"Klamath Falls City Schools","4107080","Did not receive either PA or Restart Grant"
"Knappa School District 4","4100040","Did not receive either PA or Restart Grant"
"Central Lee Community School District","1906930","Did not receive either PA or Restart Grant"
"Knappa School District 4","4100040","Did not receive either PA or Restart Grant"
"Central Lee Community School District","1906930","Did not receive either PA or Restart Grant"
"Denville Township School District","3403870","Received PA or Restart Grant"
"Coon Rapids-Bayard Community School District","1908070","Did not receive either PA or Restart Grant"
"East Hanover Township School District","3404170","Received PA or Restart Grant"
"Beaverton School District 48J","4101920","Did not receive either PA or Restart Grant"
"Madrid Community School District","1918180","Did not receive either PA or Restart Grant"
"Netcong Borough School District","3411190","Did not receive either PA or Restart Grant"
"Newberg School District 29J","4108720","Did not receive either PA or Restart Grant"
"Johnston Community School District","1915450","Did not receive either PA or Restart Grant"
"Marion Independent School District","1918690","Did not receive either PA or Restart Grant"
"Alsea School District 7J","4101200","Did not receive either PA or Restart Grant"
"Long Hill Township School District","3412660","Received PA or Restart Grant"
"Meade Unified School District 226","2009420","Received PA or Restart Grant"
"Rogue River School District 35","4110680","Did not receive either PA or Restart Grant"
"Meade Unified School District 226","2009420","Received PA or Restart Grant"
"Wharton Borough School District","3417880","Did not receive either PA or Restart Grant"
"Lebanon Borough School District","3408430","Did not receive either PA or Restart Grant"
"Berlin Borough School District","3401590","Did not receive either PA or Restart Grant"
"Onaga-Havensville-Wheaton Unified School District 322","2010170","Did not receive either PA or Restart Grant"
"Union School District 5","4112690","Did not receive either PA or Restart Grant"
"David Douglas School District 40","4103940","Did not receive either PA or Restart Grant"
"Royal Valley Unified School District 337","2009320","Did not receive either PA or Restart Grant"
"Lansing Unified School District 469","2008340","Did not receive either PA or Restart Grant"
"Lansing Unified School District 469","2008340","Did not receive either PA or Restart Grant"
"Lebanon Community School District 9","4107380","Did not receive either PA or Restart Grant"
"Gloucester Township School District","3406030","Did not receive either PA or Restart Grant"
"Osborne County Unified School District 392","2010290","Did not receive either PA or Restart Grant"
"Goodland Unified School District 352","2006580","Did not receive either PA or Restart Grant"
"North Santiam School District 29J","4100020","Did not receive either PA or Restart Grant"
"Goodland Unified School District 352","2006580","Did not receive either PA or Restart Grant"
"Bellmawr Borough School District","3401380","Did not receive either PA or Restart Grant"
"Long Creek School District 17","4107530","Did not receive either PA or Restart Grant"
"Riverdale School District 51J","4110560","Did not receive either PA or Restart Grant"
"Rainier School District 13","4103265","Did not receive either PA or Restart Grant"
"Western Plains Unified School District 106","2000020","Did not receive either PA or Restart Grant"
"Rainier School District 13","4103265","Did not receive either PA or Restart Grant"
"Mantua Township School District","3409600","Did not receive either PA or Restart Grant"
"Baldwin City Unified School District 348","2003720","Did not receive either PA or Restart Grant"
"Leoti Unified School District 467","2008610","Received PA or Restart Grant"
"Elk Township School District","3404620","Did not receive either PA or Restart Grant"
"Woodburn School District 103","4113530","Did not receive either PA or Restart Grant"
"Bandon School District 54","4101800","Did not receive either PA or Restart Grant"
"El Dorado Unified School District 490","2005730","Did not receive either PA or Restart Grant"
"Grants Pass School District 7","4105910","Did not receive either PA or Restart Grant"
"Enterprise School District 21","4105080","Did not receive either PA or Restart Grant"
"Enterprise School District 21","4105080","Did not receive either PA or Restart Grant"
"Swedesboro-Woolwich School District","3415990","Did not receive either PA or Restart Grant"
"Ell-Saline Unified School District 307","2005800","Received PA or Restart Grant"
"Cunningham Unified School District 332","2005370","Did not receive either PA or Restart Grant"
"Fort Scott Unified School District 234","2006180","Did not receive either PA or Restart Grant"
"Enterprise School District 21","4105080","Did not receive either PA or Restart Grant"
"Fort Scott Unified School District 234","2006180","Did not receive either PA or Restart Grant"
"Troy Public Schools Unified School District 429","2012330","Did not receive either PA or Restart Grant"
"Troy Public Schools Unified School District 429","2012330","Did not receive either PA or Restart Grant"
"Sheridan School District 48J","4111220","Did not receive either PA or Restart Grant"
"Burlington Unified School District 244","2004290","Did not receive either PA or Restart Grant"
"Neah-Kah-Nie School District 56","4108650","Did not receive either PA or Restart Grant"
"Camas Valley School District 21J","4102610","Did not receive either PA or Restart Grant"
"Centre Unified School District 397","2008940","Did not receive either PA or Restart Grant"
"North Douglas School District 22","4104350","Received PA or Restart Grant"
"Winfield Unified School District 465","2013050","Did not receive either PA or Restart Grant"
"Colton School District 53","4103270","Did not receive either PA or Restart Grant"
"Spray School District 1","4111640","Did not receive either PA or Restart Grant"
"Brookings-Harbor School District 17","4102310","Did not receive either PA or Restart Grant"
"Erie Unified School District 101","2006000","Did not receive either PA or Restart Grant"
"Moscow Public Schools Unified School District 209","2009720","Did not receive either PA or Restart Grant"
"Brookings-Harbor School District 17","4102310","Did not receive either PA or Restart Grant"
"Imbler School District 11","4106630","Did not receive either PA or Restart Grant"
"Eureka Unified School District 389","2006120","Did not receive either PA or Restart Grant"
"Iola Unified School District 257","2007740","Did not receive either PA or Restart Grant"
"Glide School District 12","4105670","Did not receive either PA or Restart Grant"
"Garden City Unified School District 457","2006390","Received PA or Restart Grant"
"Elkhart Unified School District 218","2005790","Received PA or Restart Grant"
"Elkhart Unified School District 218","2005790","Received PA or Restart Grant"
"Elkhart Unified School District 218","2005790","Received PA or Restart Grant"
"Corbett School District 39","4103420","Did not receive either PA or Restart Grant"
"Corbett School District 39","4103420","Did not receive either PA or Restart Grant"
"Gladstone School District 115","4105610","Did not receive either PA or Restart Grant"
"Osage City Unified School District 420","2010230","Did not receive either PA or Restart Grant"
"North Bend School District 13","4108820","Did not receive either PA or Restart Grant"
"Galeton Area School District","4210530","Did not receive either PA or Restart Grant"
"Auburn-Washburn Unified School District 437","2003200","Did not receive either PA or Restart Grant"
"Mars Area School District","4214790","Did not receive either PA or Restart Grant"
"Moniteau School District","4217100","Did not receive either PA or Restart Grant"
"Logan Unified School District 326","2008910","Did not receive either PA or Restart Grant"
"Derry Township School District","4207590","Did not receive either PA or Restart Grant"
"Wichita Unified School District 259","2012990","Did not receive either PA or Restart Grant"
"Williams Valley School District","4226400","Did not receive either PA or Restart Grant"
"Cheney Unified School District 268","2004670","Did not receive either PA or Restart Grant"
"Harrisburg City School District","4211580","Did not receive either PA or Restart Grant"
"Jamestown Area School District","4212300","Did not receive either PA or Restart Grant"
"Jamestown Area School District","4212300","Did not receive either PA or Restart Grant"
"Geary County Schools Unified School District 475","2007890","Did not receive either PA or Restart Grant"
"Titusville Area School District","4223490","Did not receive either PA or Restart Grant"
"Hanover Public School District","4211450","Did not receive either PA or Restart Grant"
"Old Forge School District","4218120","Did not receive either PA or Restart Grant"
"Moundridge Unified School District 423","2009780","Did not receive either PA or Restart Grant"
"Lebanon School District","4213440","Did not receive either PA or Restart Grant"
"Golden Plains Unified School District 316","2011040","Did not receive either PA or Restart Grant"
"Baxter Springs Unified School District 508","2003810","Received PA or Restart Grant"
"Eastern Lebanon County School District","4208460","Did not receive either PA or Restart Grant"
"Baxter Springs Unified School District 508","2003810","Received PA or Restart Grant"
"Blue Mountain School District","4203870","Did not receive either PA or Restart Grant"
"Douglass Public Schools Unified School District 396","2005610","Did not receive either PA or Restart Grant"
"Shenandoah Valley School District","4221490","Did not receive either PA or Restart Grant"
"South Barber Unified School District 255","2008130","Did not receive either PA or Restart Grant"
"Exeter Township School District","4209480","Did not receive either PA or Restart Grant"
"South Barber Unified School District 255","2008130","Did not receive either PA or Restart Grant"
"Sedgwick Public Schools Unified School District 439","2011550","Received PA or Restart Grant"
"Schuylkill Valley School District","4220970","Did not receive either PA or Restart Grant"
"Upper Perkiomen School District","4224540","Did not receive either PA or Restart Grant"
"Hays Unified School District 489","2007020","Did not receive either PA or Restart Grant"
"Ellinwood Public Schools Unified School District 355","2005820","Did not receive either PA or Restart Grant"
"Armstrong School District","4202590","Did not receive either PA or Restart Grant"
"South Brown County Unified School District 430","2007470","Did not receive either PA or Restart Grant"
"Smethport Area School District","4221690","Did not receive either PA or Restart Grant"
"Bucklin Unified School District 459","2004140","Received PA or Restart Grant"
"Southern Huntingdon County School District","4222320","Did not receive either PA or Restart Grant"
"Haviland Unified School District 474","2006990","Received PA or Restart Grant"
"Bryn Athyn School District","4204090","Did not receive either PA or Restart Grant"
"Louisburg Unified School District 416","2008970","Did not receive either PA or Restart Grant"
"Cheltenham Township School District","4205760","Did not receive either PA or Restart Grant"
"Lower Merion School District","4214160","Did not receive either PA or Restart Grant"
"Louisburg Unified School District 416","2008970","Did not receive either PA or Restart Grant"
"Osawatomie Unified School District 367","2010260","Received PA or Restart Grant"
"Brockway Area School District","4204260","Did not receive either PA or Restart Grant"
"Nemaha Unified School District 115","2000353","Did not receive either PA or Restart Grant"
"Wyoming Valley West School District","4225950","Did not receive either PA or Restart Grant"
"Nemaha Unified School District 115","2000353","Did not receive either PA or Restart Grant"
